timestamp,cpu_percent,memory_mb,memory_percent,gpu_memory_mb,gpu_percent,temperature_c
1763368965.8673434,0.0,6353.1171875,86.1,0.0,0.0,0.0
1763368965.9886959,18.2,6346.0546875,86.0,0.0,0.0,0.0
1763368966.1078174,0.0,6374.49609375,86.4,0.0,0.0,0.0
1763368966.2376752,100.0,6632.33203125,89.9,0.0,0.0,0.0
1763368966.3573594,0.0,6810.84765625,92.3,0.0,0.0,0.0
1763368966.4809787,0.0,6825.55859375,92.5,0.0,0.0,0.0
1763368966.6225803,0.0,7008.3671875,95.0,0.0,0.0,0.0
1763368966.7636266,100.0,6971.79296875,94.5,0.0,0.0,0.0
1763368966.9415724,100.0,7175.0,97.2,0.0,0.0,0.0
1763368967.0584826,0.0,7160.90234375,97.0,0.0,0.0,0.0
1763368967.184247,0.0,7176.79296875,97.3,0.0,0.0,0.0
1763368967.3091488,0.0,7173.59765625,97.2,0.0,0.0,0.0
1763368967.4328735,0.0,7112.64453125,96.4,0.0,0.0,0.0
1763368967.588733,100.0,6958.1328125,94.3,0.0,0.0,0.0
1763368967.7413976,100.0,7131.86328125,96.6,0.0,0.0,0.0
1763368967.8978212,100.0,7124.7265625,96.5,0.0,0.0,0.0
1763368968.0233197,100.0,7107.7265625,96.3,0.0,0.0,0.0
1763368968.1775355,100.0,6898.40625,93.5,0.0,0.0,0.0
1763368968.3060324,100.0,7131.546875,96.6,0.0,0.0,0.0
1763368968.4302783,100.0,7133.3671875,96.7,0.0,0.0,0.0
1763368968.5547955,45.5,7097.765625,96.2,0.0,0.0,0.0
1763368968.6778283,41.7,6914.0390625,93.7,0.0,0.0,0.0
1763368968.851652,100.0,6908.61328125,93.6,0.0,0.0,0.0
1763368968.9751935,100.0,6792.1796875,92.0,0.0,0.0,0.0
1763368969.1402352,100.0,6684.91015625,90.6,0.0,0.0,0.0
1763368969.2690105,100.0,6741.5078125,91.4,0.0,0.0,0.0
1763368969.4159076,100.0,6907.1953125,93.6,0.0,0.0,0.0
1763368969.5703666,100.0,6408.828125,86.8,0.0,0.0,0.0
1763368969.6987238,100.0,6493.265625,88.0,0.0,0.0,0.0
1763368969.821489,100.0,6879.390625,93.2,0.0,0.0,0.0
1763368969.9463916,100.0,6889.81640625,93.4,0.0,0.0,0.0
1763368970.0717344,25.0,6874.1796875,93.1,0.0,0.0,0.0
1763368970.1965141,66.7,6866.4453125,93.0,0.0,0.0,0.0
1763368970.3774812,100.0,6861.9921875,93.0,0.0,0.0,0.0
1763368970.560739,100.0,6622.24609375,89.7,0.0,0.0,0.0
1763368970.684639,0.0,6715.51171875,91.0,0.0,0.0,0.0
1763368970.8463316,100.0,6859.67578125,93.0,0.0,0.0,0.0
1763368971.0362706,100.0,6417.7109375,87.0,0.0,0.0,0.0
1763368971.156555,100.0,6446.8515625,87.4,0.0,0.0,0.0
1763368971.2901735,0.0,6594.47265625,89.4,0.0,0.0,0.0
1763368971.411269,83.3,6597.8359375,89.4,0.0,0.0,0.0
1763368971.5781796,100.0,6602.328125,89.5,0.0,0.0,0.0
1763368971.7112179,100.0,6380.47265625,86.5,0.0,0.0,0.0
1763368971.8660321,100.0,6155.703125,83.4,0.0,0.0,0.0
1763368971.9896278,100.0,6582.23828125,89.2,0.0,0.0,0.0
1763368972.1098027,100.0,6580.27734375,89.2,0.0,0.0,0.0
1763368972.2327335,0.0,6583.02734375,89.2,0.0,0.0,0.0
1763368972.3558052,0.0,6557.203125,88.9,0.0,0.0,0.0
1763368972.4814305,0.0,6556.953125,88.9,0.0,0.0,0.0
1763368972.606935,0.0,6548.3671875,88.7,0.0,0.0,0.0
1763368972.7836382,100.0,6544.7890625,88.7,0.0,0.0,0.0
1763368972.9411502,100.0,6330.35546875,85.8,0.0,0.0,0.0
1763368973.0713928,100.0,6509.20703125,88.2,0.0,0.0,0.0
1763368973.2187274,100.0,6555.08203125,88.8,0.0,0.0,0.0
1763368973.4212956,100.0,6338.5078125,85.9,0.0,0.0,0.0
1763368973.5478828,100.0,6585.8984375,89.2,0.0,0.0,0.0
1763368973.6729221,100.0,6803.73828125,92.2,0.0,0.0,0.0
1763368973.795276,0.0,6810.32421875,92.3,0.0,0.0,0.0
1763368973.9215152,0.0,6825.3828125,92.5,0.0,0.0,0.0
1763368974.04472,0.0,6843.3359375,92.7,0.0,0.0,0.0
1763368974.1706107,0.0,6861.4609375,93.0,0.0,0.0,0.0
1763368974.3359904,100.0,6881.109375,93.2,0.0,0.0,0.0
