timestamp,cpu_percent,memory_mb,memory_percent,gpu_memory_mb,gpu_percent,temperature_c
1762890247.0038152,37.5,17155.34765625,26.2,4388.94970703125,26.788125302792746,0.0
1762890247.1266406,0.0,17158.890625,26.2,4388.94970703125,26.788125302792746,0.0
1762890247.2420828,100.0,17162.9140625,26.2,4649.21826171875,28.3766845528967,0.0
1762890247.3566234,0.0,17185.6328125,26.2,4649.21826171875,28.3766845528967,0.0
1762890247.4717004,62.5,17191.328125,26.2,4649.21826171875,28.3766845528967,0.0
1762890247.589607,100.0,17214.94140625,26.3,4677.21826171875,28.54758364232499,0.0
1762890247.7068582,87.5,17280.1484375,26.4,4649.21826171875,28.3766845528967,0.0
1762890247.8214204,87.5,17284.671875,26.4,4645.3330078125,28.35297075451185,0.0
1762890247.938874,0.0,17291.58984375,26.4,4645.333984375,28.352976714999066,0.0
1762890248.0550592,100.0,17332.8828125,26.5,5142.33349609375,31.38643257210759,0.0
1762890248.1709926,0.0,17375.50390625,26.5,7130.94384765625,43.523993226025496,0.0
1762890248.2873273,100.0,17382.0390625,26.5,7130.94384765625,43.523993226025496,0.0
1762890248.4023747,0.0,17387.51171875,26.5,7130.94384765625,43.523993226025496,0.0
1762890248.5221155,12.5,17386.84375,26.5,7130.94384765625,43.523993226025496,0.0
1762890248.658627,0.0,17396.66015625,26.6,5390.94384765625,32.90383552583895,0.0
1762890248.7743094,66.7,17407.56640625,26.6,4893.8330078125,29.86970017318792,0.0
1762890248.888863,0.0,17410.59765625,26.6,5390.8486328125,32.90325437833549,0.0
1762890249.0052283,87.5,17420.08203125,26.6,5893.67333984375,35.97226454168145,0.0
1762890249.1208758,62.5,17422.46875,26.6,7379.44677734375,45.040740526163205,0.0
1762890249.2353182,100.0,17418.921875,26.6,7379.44677734375,45.040740526163205,0.0
1762890249.3544195,25.0,17418.8046875,26.6,7379.44677734375,45.040740526163205,0.0
1762890249.5137932,0.0,17419.34375,26.6,5639.44677734375,34.42058282597666,0.0
1762890249.6288366,100.0,17418.48828125,26.6,7379.45556640625,45.04079417054814,0.0
1762890249.7437222,75.0,17418.54296875,26.6,7379.45556640625,45.04079417054814,0.0
1762890249.8607264,0.0,17417.046875,26.6,7379.45556640625,45.04079417054814,0.0
1762890249.9770496,87.5,17418.1328125,26.6,5390.95849609375,32.90392493314718,0.0
1762890250.0926254,0.0,17417.84375,26.6,5890.99658203125,35.955926846225154,0.0
1762890250.2073295,100.0,17416.84375,26.6,7131.2734375,43.52600489046055,0.0
1762890250.3222044,50.0,17417.7109375,26.6,7131.2734375,43.52600489046055,0.0
1762890250.437256,0.0,17417.0625,26.6,7131.2734375,43.52600489046055,0.0
1762890250.5520568,81.8,17417.234375,26.6,7131.2734375,43.52600489046055,0.0
1762890250.6971798,37.5,17416.9453125,26.6,5391.2734375,32.90584719027401,0.0
1762890250.8115585,0.0,17420.23046875,26.6,5142.3330078125,31.386429591863983,0.0
1762890250.9290507,87.5,17420.1796875,26.6,5890.8955078125,35.955309935798404,0.0
1762890251.044884,20.0,17419.72265625,26.6,7379.779296875,45.04277007205991,0.0
1762890251.159905,50.0,17419.8515625,26.6,7379.779296875,45.04277007205991,0.0
1762890251.2733123,25.0,17419.953125,26.6,7379.779296875,45.04277007205991,0.0
1762890251.3898492,0.0,17419.828125,26.6,7379.779296875,45.04277007205991,0.0
1762890251.5059226,25.0,17420.1640625,26.6,7379.779296875,45.04277007205991,0.0
1762890251.6204667,37.5,17419.3046875,26.6,7379.796875,45.04287736082978,0.0
1762890251.7361844,87.5,17419.42578125,26.6,7379.796875,45.04287736082978,0.0
1762890251.8519492,25.0,17419.81640625,26.6,7379.796875,45.04287736082978,0.0
1762890251.9671776,0.0,17424.6953125,26.6,7379.796875,45.04287736082978,0.0
1762890252.1059122,25.0,17424.4140625,26.6,5639.796875,34.42271966064324,0.0
1762890252.2214446,77.8,17422.83984375,26.6,5765.5849609375,35.190472137344884,0.0
1762890252.3357928,25.0,17421.68359375,26.6,5765.5849609375,35.190472137344884,0.0
1762890252.4504092,0.0,17419.0625,26.6,5765.5888671875,35.19049597929374,0.0
1762890252.5667207,12.5,17416.1484375,26.6,5765.5888671875,35.19049597929374,0.0
1762890252.6807094,50.0,17416.05078125,26.6,5765.5888671875,35.19049597929374,0.0
1762890252.7961922,0.0,17423.34375,26.6,4896.349609375,29.885060348740954,0.0
1762890252.9107487,87.5,17424.98828125,26.6,4645.3330078125,28.35297075451185,0.0
