timestamp,cpu_percent,memory_mb,memory_percent,gpu_memory_mb,gpu_percent,temperature_c
1763304544.6020255,100.0,17482.2109375,26.7,0.0,0.0,0.0
1763304544.7173595,62.5,17484.921875,26.7,0.0,0.0,0.0
1763304544.8425148,0.0,17481.6171875,26.7,0.0,0.0,0.0
1763304544.9733033,66.7,17540.25,26.8,0.0,0.0,0.0
1763304545.0984094,100.0,17642.0234375,26.9,0.0,0.0,0.0
1763304545.2160177,0.0,17711.7421875,27.0,0.0,0.0,0.0
1763304545.4315577,100.0,17933.12109375,27.4,0.0,0.0,0.0
1763304545.5976694,100.0,17931.69140625,27.4,0.0,0.0,0.0
1763304545.7234855,37.5,17939.796875,27.4,0.0,0.0,0.0
1763304545.9001224,95.8,17935.03515625,27.4,0.0,0.0,0.0
1763304546.0691955,100.0,18103.19140625,27.6,0.0,0.0,0.0
1763304546.2822504,100.0,18144.16015625,27.7,0.0,0.0,0.0
1763304546.4404893,100.0,18144.6875,27.7,0.0,0.0,0.0
1763304546.6174016,100.0,18148.84765625,27.7,0.0,0.0,0.0
1763304546.7671857,100.0,18148.71484375,27.7,0.0,0.0,0.0
1763304547.0161524,100.0,18340.40234375,28.0,0.0,0.0,0.0
1763304547.1497493,100.0,18436.98046875,28.1,0.0,0.0,0.0
1763304547.2810338,0.0,18513.0390625,28.3,0.0,0.0,0.0
1763304547.4022315,100.0,18582.66015625,28.4,0.0,0.0,0.0
1763304547.5760365,100.0,18593.16796875,28.4,0.0,0.0,0.0
1763304547.6963418,62.5,18595.56640625,28.4,0.0,0.0,0.0
1763304547.8135598,66.7,18595.49609375,28.4,0.0,0.0,0.0
1763304547.9295785,77.8,18588.375,28.4,0.0,0.0,0.0
1763304548.0441198,0.0,18590.11328125,28.4,0.0,0.0,0.0
1763304548.160832,62.5,18589.23828125,28.4,0.0,0.0,0.0
1763304548.276654,0.0,18588.91015625,28.4,0.0,0.0,0.0
1763304548.3936028,100.0,18589.16015625,28.4,0.0,0.0,0.0
1763304548.5092068,50.0,18595.55078125,28.4,0.0,0.0,0.0
1763304548.6265764,62.5,18595.046875,28.4,0.0,0.0,0.0
1763304548.7431955,37.5,18594.9921875,28.4,0.0,0.0,0.0
