timestamp,cpu_percent,memory_mb,memory_percent,gpu_memory_mb,gpu_percent,temperature_c
1762948196.605527,44.4,3199.0,84.6,1919.3999999999999,0.0,0.0
1762948196.732554,0.0,3205.125,84.6,1923.0749999999998,0.0,0.0
1762948196.860561,0.0,3205.125,84.6,1923.0749999999998,0.0,0.0
1762948197.0016708,0.0,3205.125,84.6,1923.0749999999998,0.0,0.0
1762948197.1727722,0.0,3205.125,84.6,1923.0749999999998,0.0,0.0
1762948197.5020201,66.7,3205.125,84.6,1923.0749999999998,0.0,0.0
1762948197.6798642,60.0,4818.5,93.1,2891.1,0.0,0.0
1762948197.93417,0.0,4876.53125,92.6,2925.91875,0.0,0.0
1762948198.103961,0.0,4876.53125,92.6,2925.91875,0.0,0.0
1762948198.2311249,0.0,4876.53125,92.6,2925.91875,0.0,0.0
1762948198.3898299,30.0,4876.53125,92.6,2925.91875,0.0,0.0
1762948198.60833,28.6,4876.53125,92.6,2925.91875,0.0,0.0
1762948198.757882,0.0,5664.96875,92.1,3398.98125,0.0,0.0
1762948198.916651,0.0,5671.578125,92.4,3402.946875,0.0,0.0
1762948199.1079621,0.0,5671.578125,92.4,3402.946875,0.0,0.0
1762948199.312735,0.0,5671.578125,92.4,3402.946875,0.0,0.0
1762948201.761718,81.8,5671.578125,92.4,3402.946875,0.0,0.0
1762948202.04455,60.0,5731.90625,93.9,3439.1437499999997,0.0,0.0
1762948202.2460392,66.7,5724.375,93.9,3434.625,0.0,0.0
1762948202.555926,0.0,5736.125,94.0,3441.6749999999997,0.0,0.0
1762948202.740997,0.0,5736.125,94.0,3441.6749999999997,0.0,0.0
1762948202.9220638,0.0,5736.125,94.0,3441.6749999999997,0.0,0.0
1762948203.4770691,100.0,5922.078125,94.5,3553.246875,0.0,0.0
1762948203.7223701,44.4,6062.28125,94.9,3637.36875,0.0,0.0
1762948204.0145652,0.0,6038.171875,94.7,3622.903125,0.0,0.0
1762948204.3001301,35.5,6049.0,94.8,3629.4,0.0,0.0
1762948204.520545,90.9,6027.734375,94.8,3616.640625,0.0,0.0
1762948204.6562712,66.7,5041.171875,83.0,3024.703125,0.0,0.0
1762948205.001167,40.0,4722.453125,86.2,2833.4718749999997,0.0,0.0
1762948205.124956,0.0,4485.953125,88.8,2691.571875,0.0,0.0
1762948205.2643042,50.0,4506.8125,88.9,2704.0875,0.0,0.0
1762948205.40336,42.9,4442.21875,88.1,2665.3312499999997,0.0,0.0
1762948205.6516402,44.4,4513.8125,88.7,2708.2875,0.0,0.0
1762948205.812949,71.4,4479.46875,90.1,2687.68125,0.0,0.0
1762948205.938587,0.0,4487.328125,90.2,2692.396875,0.0,0.0
1762948206.0827131,0.0,4496.90625,90.2,2698.1437499999997,0.0,0.0
1762948206.2403562,0.0,4496.90625,90.2,2698.1437499999997,0.0,0.0
1762948206.369401,46.2,4496.90625,90.2,2698.1437499999997,0.0,0.0
1762948206.507322,54.5,4496.90625,90.2,2698.1437499999997,0.0,0.0
1762948206.693485,55.6,4540.453125,90.3,2724.271875,0.0,0.0
1762948206.829437,0.0,4539.203125,90.1,2723.521875,0.0,0.0
1762948206.965755,0.0,4571.703125,90.4,2743.021875,0.0,0.0
1762948207.1518478,0.0,4599.78125,90.5,2759.86875,0.0,0.0
1762948207.3004391,0.0,4619.796875,90.5,2771.8781249999997,0.0,0.0
1762948207.439662,50.0,4619.796875,90.5,2771.8781249999997,0.0,0.0
1762948207.5679018,0.0,4619.796875,90.5,2771.8781249999997,0.0,0.0
1762948207.7173572,0.0,4727.0,90.9,2836.2,0.0,0.0
1762948207.849376,0.0,4821.921875,90.9,2893.153125,0.0,0.0
1762948208.010676,0.0,5200.21875,92.6,3120.13125,0.0,0.0
1762948208.470329,0.0,5568.265625,94.6,3340.959375,0.0,0.0
1762948208.6915781,0.0,5672.21875,93.7,3403.3312499999997,0.0,0.0
1762948208.833772,38.5,5677.109375,93.8,3406.265625,0.0,0.0
1762948209.01058,45.5,5685.53125,93.8,3411.31875,0.0,0.0
1762948209.174885,0.0,5685.53125,93.8,3411.31875,0.0,0.0
1762948209.331965,0.0,5685.53125,93.8,3411.31875,0.0,0.0
1762948209.472825,0.0,5685.53125,93.8,3411.31875,0.0,0.0
1762948209.682448,38.9,5685.53125,93.8,3411.31875,0.0,0.0
1762948209.842957,33.3,5685.53125,93.8,3411.31875,0.0,0.0
1762948210.078999,33.3,5034.96875,85.4,3020.98125,0.0,0.0
1762948210.205991,30.0,4693.390625,90.4,2816.0343749999997,0.0,0.0
1762948210.332605,22.2,4668.734375,90.3,2801.240625,0.0,0.0
1762948210.466261,0.0,4671.421875,90.6,2802.853125,0.0,0.0
1762948210.706156,0.0,4690.3125,90.5,2814.1875,0.0,0.0
1762948210.831628,60.0,4690.3125,90.5,2814.1875,0.0,0.0
1762948210.975584,0.0,4690.3125,90.5,2814.1875,0.0,0.0
1762948211.106957,0.0,4665.90625,90.2,2799.54375,0.0,0.0
1762948211.229285,0.0,4758.484375,91.0,2855.090625,0.0,0.0
1762948211.36338,0.0,4779.734375,91.1,2867.840625,0.0,0.0
1762948211.572352,0.0,4779.734375,91.1,2867.840625,0.0,0.0
1762948211.753878,0.0,4779.734375,91.1,2867.840625,0.0,0.0
